uid,d15N,d13C,sampleID,individualID
d848b634-f561-4ba8-b054-b03918747000,2.5,-31.8,GWdltx9aizz5j/fyJpVRjQMvmK7uJm06rqYeoFLOcvY=,NEON.PLA.D06.UKFS.03405
44bb468d-d7af-451b-b5ef-3c5e5e548a0c,-1.1,-29.8,GWdltx9aizzy30t6oX81RYidXP5+Djvv8RfNYqAMgw0=,NEON.PLA.D06.UKFS.03595
d6c7ac7c-ef94-49b5-98eb-ff9ea4db3b27,1.7,-29.8,GWdltx9aizz0vObCMOeVWGJCwCaJn6hH7dOqrm0R78s=,NEON.PLA.D06.UKFS.03404
a8cee078-f48c-441a-b83e-b861aa24d986,-1.1,-27.6,GWdltx9aizyuZKUdN3WWMBZcRIoCoI4WPc8KDHlpbIg=,NEON.PLA.D06.UKFS.03591
2d3e5a77-2148-400a-bef6-27e0398ae747,-0.7,-27.4,GWdltx9aizxzfzgjEGH89eco2RhQN2Vxoj+nAl9JLnQ=,NEON.PLA.D06.UKFS.03592
d9f3af68-b4b7-40f6-849a-4ad550db7aed,-1.3,-28.6,GWdltx9aizw8Illw/plSgldbgdLXNpLVnGVuV+BJbaY=,NEON.PLA.D06.UKFS.03593
b060b82c-cbc1-4619-b5a0-ebcb15db857b,-3,-28,gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=,NEON.PLA.D07.MLBS.00197
e64b6511-4fe0-4310-8547-c669d884efaa,-4,-28.7,gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=,NEON.PLA.D07.MLBS.00183
fad14605-0853-4c5d-b8ad-57fbecab31cb,-2,-28.1,gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=,NEON.PLA.D07.MLBS.01486
33a22161-fabe-418c-b9cf-ec5b76c108c8,-1.7,-27.2,gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=,NEON.PLA.D07.MLBS.01455
79157ee2-d911-4405-bc08-c147f62c441c,-1.7,-27.8,gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=,NEON.PLA.D07.MLBS.01489
4ece1c26-f04d-4f09-8b0f-afb7503b7976,-2.6,-29,gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=,NEON.PLA.D07.MLBS.00133
2feb64dd-cefc-468c-a5bc-3353eee7ed9e,-2.6,-28.7,gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=,NEON.PLA.D07.MLBS.01022
e1111d28-fc5f-4c13-9af0-2129149a7e18,-2.5,-27.8,gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=,NEON.PLA.D07.MLBS.01019
7d255b77-7314-41ed-9dfc-6035ce7e1fd2,-2.4,-28.1,gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=,NEON.PLA.D07.MLBS.00042
